month,town,resale_price
2019-04-01,JURONG WEST,378757.2698412698
2019-04-01,TAMPINES,477091.5223880597
2019-04-01,WOODLANDS,352637.86092715233
2019-05-01,BUKIT MERAH,541457.1829268293
2019-05-01,CENTRAL AREA,557555.5555555555
2019-05-01,JURONG WEST,384097.5581395349
2019-05-01,TAMPINES,452821.2131147541
2019-05-01,WOODLANDS,386257.3333333333
2019-06-01,BUKIT MERAH,584139.7419354839
2019-06-01,CENTRAL AREA,609266.6666666666
2019-06-01,JURONG WEST,383020.20958083833
2019-06-01,TAMPINES,470054.07751937985
2019-06-01,WOODLANDS,362441.3594771242
2019-07-01,BUKIT MERAH,599716.4155844155
2019-07-01,CENTRAL AREA,640352.9411764706
2019-07-01,JURONG WEST,394593.7531658291
2019-07-01,TAMPINES,465696.02898550726
2019-07-01,WOODLANDS,384949.1267605634
2019-08-01,BUKIT MERAH,552585.7931034482
2019-08-01,CENTRAL AREA,669282.4117647059
2019-08-01,JURONG WEST,386632.1901408451
2019-08-01,TAMPINES,460082.30303030304
2019-08-01,WOODLANDS,370039.1955307263
2019-09-01,BUKIT MERAH,595565.1111111111
2019-09-01,CENTRAL AREA,602324.0
2019-09-01,JURONG WEST,380006.1818181818
2019-09-01,TAMPINES,466581.94545454544
2019-09-01,WOODLANDS,377112.5479452055
2019-10-01,BUKIT MERAH,504052.76
2019-10-01,CENTRAL AREA,574055.5
2019-10-01,JURONG WEST,381543.3275862069
2019-10-01,TAMPINES,485408.25850340136
2019-10-01,WOODLANDS,370948.679245283
2019-11-01,BUKIT MERAH,556296.0
2019-11-01,CENTRAL AREA,691657.3333333334
2019-11-01,JURONG WEST,386949.0672727273
2019-11-01,TAMPINES,470392.1621621622
2019-11-01,WOODLANDS,376304.14110429445
2019-12-01,BUKIT MERAH,559301.0322580645
2019-12-01,CENTRAL AREA,571516.2352941176
2019-12-01,JURONG WEST,401474.9692307692
2019-12-01,TAMPINES,476901.8032786885
2019-12-01,WOODLANDS,373833.0447761194
2020-01-01,BUKIT MERAH,602787.737704918
2020-01-01,CENTRAL AREA,472857.14285714284
2020-01-01,JURONG WEST,397387.21014492755
2020-01-01,TAMPINES,462237.9212598425
2020-01-01,WOODLANDS,360305.7404580153
2020-02-01,BUKIT MERAH,571088.8275862068
2020-02-01,CENTRAL AREA,600800.0
2020-02-01,JURONG WEST,385627.3274336283
2020-02-01,TAMPINES,463789.81395348837
2020-02-01,WOODLANDS,370777.7614678899
2020-03-01,BUKIT MERAH,559562.0
2020-03-01,CENTRAL AREA,526122.1538461539
2020-03-01,JURONG WEST,402966.1085271318
2020-03-01,TAMPINES,488703.20634920633
2020-03-01,WOODLANDS,389256.8721804511
2020-04-01,BUKIT MERAH,577750.0
2020-04-01,JURONG WEST,427237.5
2020-04-01,TAMPINES,487085.71428571426
2020-04-01,WOODLANDS,383457.14285714284
2020-05-01,BUKIT MERAH,614181.8181818182
2020-05-01,CENTRAL AREA,407500.0
2020-05-01,JURONG WEST,456209.77777777775
2020-05-01,TAMPINES,450662.51851851854
2020-05-01,WOODLANDS,403725.0
2020-06-01,BUKIT MERAH,529253.5384615385
2020-06-01,CENTRAL AREA,582765.5238095238
2020-06-01,JURONG WEST,393080.9090909091
2020-06-01,TAMPINES,460704.9285714286
2020-06-01,WOODLANDS,385128.6555
2020-07-01,BUKIT MERAH,538320.7887323943
2020-07-01,CENTRAL AREA,637457.2631578947
2020-07-01,JURONG WEST,404325.5135135135
2020-07-01,TAMPINES,472822.17647058825
2020-07-01,WOODLANDS,398400.9212121212
2020-08-01,BUKIT MERAH,506114.3703703704
2020-08-01,CENTRAL AREA,600615.3846153846
2020-08-01,JURONG WEST,405964.50344827585
2020-08-01,TAMPINES,496261.18518518517
2020-08-01,WOODLANDS,406374.1066666667
2020-09-01,BUKIT MERAH,594658.5753424658
2020-09-01,CENTRAL AREA,610181.8181818182
2020-09-01,JURONG WEST,428335.5816993464
2020-09-01,TAMPINES,487930.53807106597
2020-09-01,WOODLANDS,407964.10169491527
2020-10-01,BUKIT MERAH,593559.9591836735
2020-10-01,CENTRAL AREA,590870.3333333334
2020-10-01,JURONG WEST,431267.8
2020-10-01,TAMPINES,491345.4922279793
2020-10-01,WOODLANDS,423716.96062992123
2020-11-01,BUKIT MERAH,572430.7111111111
2020-11-01,CENTRAL AREA,744375.619047619
2020-11-01,JURONG WEST,425844.11188811186
2020-11-01,TAMPINES,481973.59493670886
2020-11-01,WOODLANDS,417555.42342342343
2020-12-01,BUKIT MERAH,554172.3829787234
2020-12-01,CENTRAL AREA,516198.1538461539
2020-12-01,JURONG WEST,450425.9
2020-12-01,TAMPINES,512303.1384615385
2020-12-01,WOODLANDS,445263.6834532374
2021-01-01,BUKIT MERAH,581132.5714285715
2021-01-01,CENTRAL AREA,605125.5652173914
2021-01-01,JURONG WEST,436168.9929078014
2021-01-01,TAMPINES,490081.3597883598
2021-01-01,WOODLANDS,421560.39285714284
2021-02-01,BUKIT MERAH,573639.5764705882
2021-02-01,CENTRAL AREA,749333.3333333334
2021-02-01,JURONG WEST,428033.76666666666
2021-02-01,TAMPINES,509188.8366013072
2021-02-01,WOODLANDS,418272.801980198
2021-03-01,BUKIT MERAH,623296.0769230769
2021-03-01,CENTRAL AREA,656635.8620689656
2021-03-01,JURONG WEST,435350.234375
2021-03-01,TAMPINES,507820.7415730337
2021-03-01,WOODLANDS,431339.10447761195
2021-04-01,BUKIT MERAH,565851.0961538461
2021-04-01,CENTRAL AREA,742493.7777777778
2021-04-01,JURONG WEST,457329.94782608695
2021-04-01,TAMPINES,522487.85326086957
2021-04-01,WOODLANDS,454484.031496063
2021-05-01,BUKIT MERAH,643557.8795180722
2021-05-01,CENTRAL AREA,800271.5555555555
2021-05-01,JURONG WEST,449890.96
2021-05-01,TAMPINES,525635.8518518518
2021-05-01,WOODLANDS,466520.6015037594
2021-06-01,BUKIT MERAH,575814.7234042553
2021-06-01,CENTRAL AREA,699277.7777777778
2021-06-01,JURONG WEST,461385.13333333336
2021-06-01,TAMPINES,524566.0392156863
2021-06-01,WOODLANDS,460293.60431654676
2021-07-01,BUKIT MERAH,629987.1372549019
2021-07-01,CENTRAL AREA,648308.0
2021-07-01,JURONG WEST,442865.71532846714
2021-07-01,TAMPINES,537251.0252525252
2021-07-01,WOODLANDS,457658.358974359
2021-08-01,BUKIT MERAH,621828.4297520661
2021-08-01,CENTRAL AREA,814703.619047619
2021-08-01,JURONG WEST,450625.66233766236
2021-08-01,TAMPINES,541132.0209424084
2021-08-01,WOODLANDS,477621.70621468924
2021-09-01,BUKIT MERAH,634653.0638297872
2021-09-01,CENTRAL AREA,657913.0434782609
2021-09-01,JURONG WEST,473098.1818181818
2021-09-01,TAMPINES,545299.4807692308
2021-09-01,WOODLANDS,481485.0724637681
2021-10-01,BUKIT MERAH,595986.8956521739
2021-10-01,CENTRAL AREA,782328.6666666666
2021-10-01,JURONG WEST,482168.76258992805
2021-10-01,TAMPINES,533856.6231155779
2021-10-01,WOODLANDS,483757.1603053435
2021-11-01,BUKIT MERAH,667506.9514563107
2021-11-01,CENTRAL AREA,819256.0
2021-11-01,JURONG WEST,490116.5283018868
2021-11-01,TAMPINES,532265.6129032258
2021-11-01,WOODLANDS,494024.49655172415
2021-12-01,BUKIT MERAH,600430.0444444445
2021-12-01,CENTRAL AREA,769081.0370370371
2021-12-01,JURONG WEST,469658.5925925926
2021-12-01,TAMPINES,542647.52
2021-12-01,WOODLANDS,484028.84722222225
2022-01-01,BUKIT MERAH,626325.0243902439
2022-01-01,CENTRAL AREA,740675.0
2022-01-01,JURONG WEST,464367.69648275856
2022-01-01,TAMPINES,536817.8159509202
2022-01-01,WOODLANDS,493673.4959349593
2022-02-01,BUKIT MERAH,681333.6
2022-02-01,CENTRAL AREA,722575.8181818182
2022-02-01,JURONG WEST,503264.13675213675
2022-02-01,TAMPINES,566153.6976744186
2022-02-01,WOODLANDS,497528.8992248062
2022-03-01,BUKIT MERAH,610742.695652174
2022-03-01,CENTRAL AREA,668198.7831578947
2022-03-01,JURONG WEST,491862.73504273506
2022-03-01,TAMPINES,560219.106870229
2022-03-01,WOODLANDS,524754.275862069
2022-04-01,BUKIT MERAH,616773.8260869565
2022-04-01,CENTRAL AREA,786937.5
2022-04-01,JURONG WEST,497693.3237410072
2022-04-01,TAMPINES,547859.5342465753
2022-04-01,WOODLANDS,509130.8115942029
2022-05-01,BUKIT MERAH,653813.4945054945
2022-05-01,CENTRAL AREA,751505.5549999999
2022-05-01,JURONG WEST,507334.0134228188
2022-05-01,TAMPINES,552380.7863247864
2022-05-01,WOODLANDS,499401.02702702704
2022-06-01,BUKIT MERAH,640321.2530120482
2022-06-01,CENTRAL AREA,673143.2
2022-06-01,JURONG WEST,472449.33561643836
2022-06-01,TAMPINES,576297.6783216783
2022-06-01,WOODLANDS,521126.01986754965
2022-07-01,BUKIT MERAH,583411.2068965518
2022-07-01,CENTRAL AREA,615555.4285714285
2022-07-01,JURONG WEST,500769.54744525545
2022-07-01,TAMPINES,575848.6285714286
2022-07-01,WOODLANDS,503285.3521126761
2022-08-01,BUKIT MERAH,679685.7195121951
2022-08-01,CENTRAL AREA,656294.1176470588
2022-08-01,JURONG WEST,514940.2962962963
2022-08-01,TAMPINES,618529.0066225166
2022-08-01,WOODLANDS,516970.6941176471
2022-09-01,BUKIT MERAH,634282.8235294118
2022-09-01,CENTRAL AREA,636477.3333333334
2022-09-01,JURONG WEST,509120.5283018868
2022-09-01,TAMPINES,578193.4026845638
2022-09-01,WOODLANDS,531225.3743589744
2022-10-01,BUKIT MERAH,695358.1052631579
2022-10-01,CENTRAL AREA,787222.1538461539
2022-10-01,JURONG WEST,510628.17741935485
2022-10-01,TAMPINES,585092.3969465649
2022-10-01,WOODLANDS,534339.7922077922
2022-11-01,BUKIT MERAH,610836.1355932204
2022-11-01,CENTRAL AREA,699842.1052631579
2022-11-01,JURONG WEST,516751.89361702127
2022-11-01,TAMPINES,588379.9798657718
2022-11-01,WOODLANDS,527722.6666666666
2022-12-01,BUKIT MERAH,649506.515625
2022-12-01,CENTRAL AREA,655357.1428571428
2022-12-01,JURONG WEST,505765.2534246575
2022-12-01,TAMPINES,570856.1548387096
2022-12-01,WOODLANDS,516253.763546798
2023-01-01,BUKIT MERAH,691561.2038834952
2023-01-01,CENTRAL AREA,684937.5238095238
2023-01-01,JURONG WEST,509621.6666666667
2023-01-01,TAMPINES,578338.5562130178
2023-01-01,WOODLANDS,526207.6223175966
2023-02-01,BUKIT MERAH,644360.9824561403
2023-02-01,CENTRAL AREA,639827.1111111111
2023-02-01,JURONG WEST,505138.8461538461
2023-02-01,TAMPINES,558111.6615384616
2023-02-01,WOODLANDS,535434.248366013
2023-03-01,BUKIT MERAH,687412.0519480519
2023-03-01,CENTRAL AREA,723095.2380952381
2023-03-01,JURONG WEST,505468.0333333333
2023-03-01,TAMPINES,586077.7964071856
2023-03-01,WOODLANDS,518502.45454545453
2023-04-01,BUKIT MERAH,681845.5451162792
